FID,ATTRIBUTE,WETLAND_TY,ACRES,SHAPE_Leng,SHAPE_Area,AREA_km2
0,PFO1A,Freshwater Forested/Shrub Wetland,3.871050350000000,838.255489272999970,15665.678200000000000,0.0007609
1,PEMCf,Freshwater Emergent Wetland,0.122477830000000,81.349609940500002,495.650199976000010,0.0004956
2,PFO1A,Freshwater Forested/Shrub Wetland,4.162086900000000,592.740258924000050,16843.409199900001000,0.0168434
3,PFO1A,Freshwater Forested/Shrub Wetland,38.178548319999997,4265.187303269999600,154503.103750000010000,0.0041002
4,PEMC,Freshwater Emergent Wetland,0.098313420000000,70.803471095399999,397.860300004000010,0.0003979
5,PFO1A,Freshwater Forested/Shrub Wetland,1.304761780000000,313.953075932999980,5280.183600000000300,0.0052802
6,PFO1A,Freshwater Forested/Shrub Wetland,0.424240030000000,152.524550541999990,1716.838500040000100,0.0017168
7,PFO1A,Freshwater Forested/Shrub Wetland,12.293804420000001,1093.460395430000100,49751.261449999998000,0.0032197
8,PFO1A,Freshwater Forested/Shrub Wetland,1.999000000000000,366.915890833999980,8089.666000109999900,0.0080897
9,PEMA,Freshwater Emergent Wetland,0.309083310000000,143.483543129000000,1250.815800020000100,0.0010912
10,PEMA,Freshwater Emergent Wetland,1.975720610000000,496.484068627000000,7995.457649969999700,0.0039337
11,PFO1A,Freshwater Forested/Shrub Wetland,6.932858130000000,844.716915955999980,28056.281500000001000,0.0012311
12,PEMCd,Freshwater Emergent Wetland,4.374403740000000,532.146336001000010,17702.583900000001000,0.0177026
13,PFO1A,Freshwater Forested/Shrub Wetland,207.474028040000010,9630.172465929999800,839617.604449999980000,0.0112313
14,PFO1A,Freshwater Forested/Shrub Wetland,3.040874560000000,557.297865890000030,12305.982750100000000,0.0123060
15,PFO1A,Freshwater Forested/Shrub Wetland,6.122737940000000,1117.461220120000000,24777.841399800000000,0.0247778
16,PFO1A,Freshwater Forested/Shrub Wetland,2.884348200000000,729.708377171000050,11672.543050099999000,0.0051425
17,PFO1A,Freshwater Forested/Shrub Wetland,3.350883760000000,546.714889522000020,13560.545500000000000,0.0000422
18,PFO1F,Freshwater Forested/Shrub Wetland,1.056244170000000,385.962410257999980,4274.468500060000200,0.0042745
19,PFO1A,Freshwater Forested/Shrub Wetland,20.554805959999999,3090.906534270000100,83182.348650000000000,0.0801501
20,PFO1A,Freshwater Forested/Shrub Wetland,1.539960780000000,422.009131783999980,6232.000199850000200,0.0005924
21,PEMA,Freshwater Emergent Wetland,0.098328620000000,70.808974223700005,397.921799978000020,0.0003979
22,PEMCh,Freshwater Emergent Wetland,0.734942280000000,269.305776716000030,2974.205899940000100,0.0029742
23,PFO1A,Freshwater Forested/Shrub Wetland,23.737846500000000,1277.502446239999900,96063.656750099995000,0.0960637
24,PFO1A,Freshwater Forested/Shrub Wetland,1.691771090000000,417.608971395000030,6846.354699919999800,0.0027939
25,PSS1A,Freshwater Forested/Shrub Wetland,24.359237190000002,3339.809082360000000,98578.744087400002000,0.0985787
26,PEMF,Freshwater Emergent Wetland,0.475638100000000,194.256829372000000,1924.839099990000000,0.0019248
27,PFO1A,Freshwater Forested/Shrub Wetland,0.698829070000000,215.232087226999990,2828.060899919999900,0.0028281
28,PFO1Ah,Freshwater Forested/Shrub Wetland,1.878996940000000,440.934968938000000,7604.030850029999800,0.0065813
29,PFO1A,Freshwater Forested/Shrub Wetland,6.322421800000000,775.772979544000010,25585.933300000001000,0.0034225
30,PEMC,Freshwater Emergent Wetland,0.442191220000000,196.075300946999990,1789.484400030000000,0.0017895
31,PFO1A,Freshwater Forested/Shrub Wetland,29.338523830000000,1975.513099199999900,118729.047225000000000,0.1187290
32,PFO1A,Freshwater Forested/Shrub Wetland,4.445392280000000,601.005311249999980,17989.864350100001000,0.0153655
33,PEM/FO1A,Freshwater Emergent Wetland,2.588745450000000,458.923485185999990,10476.281149900000000,0.0104763
34,PSS1C,Freshwater Forested/Shrub Wetland,0.710539330000000,274.852767589000000,2875.450649989999900,0.0028755
35,PEMC,Freshwater Emergent Wetland,8.886447100000000,946.091272410999980,35962.175600000002000,0.0359622
36,PEMAf,Freshwater Emergent Wetland,2.626694160000000,693.817781568999980,10629.854150100000000,0.0106299
37,PFO1A,Freshwater Forested/Shrub Wetland,7.613824260000000,1370.873121970000100,30812.053650000002000,0.0004053
38,PFO1A,Freshwater Forested/Shrub Wetland,22.372778570000001,1248.667653239999900,90539.422800400003000,0.0905394
39,PFO1A,Freshwater Forested/Shrub Wetland,1.292336230000000,357.368007983999970,5229.899199929999700,0.0052299
40,PFO1C,Freshwater Forested/Shrub Wetland,12.290451500000000,1864.604202660000100,49737.692700200001000,0.0255146
41,PEMC,Freshwater Emergent Wetland,0.958437940000000,291.932454241000020,3878.660750019999800,0.0036795
42,PFO1A,Freshwater Forested/Shrub Wetland,4.422301420000000,732.972663046999970,17896.418949700001000,0.0010143
43,PSS1C,Freshwater Forested/Shrub Wetland,0.284900250000000,125.364548459000010,1152.950399950000000,0.0011529
44,PFO1A,Freshwater Forested/Shrub Wetland,1.483218850000000,330.827262158000000,6002.373750089999700,0.0060024
45,PFO1A,Freshwater Forested/Shrub Wetland,142.888566430000000,10930.325126700000000,578249.728299999960000,0.5782500
46,PSS1Ah,Freshwater Forested/Shrub Wetland,0.435546170000000,180.396020093000000,1762.592800019999900,0.0006812
47,PEMA,Freshwater Emergent Wetland,0.459618160000000,173.491018000000000,1860.008699949999900,0.0018600
48,PEMC,Freshwater Emergent Wetland,1.459928130000000,298.984786198999980,5908.049612500000000,0.0059081
49,PFO1A,Freshwater Forested/Shrub Wetland,7.490006900000000,1598.154917040000100,30310.965324900000000,0.0303110
50,PFO1A,Freshwater Forested/Shrub Wetland,0.881882100000000,259.916738321000030,3568.850250040000000,0.0019922
51,PFO1A,Freshwater Forested/Shrub Wetland,131.758198270000010,8575.824605449999600,533206.306499999950000,0.1140160
52,PFO1A,Freshwater Forested/Shrub Wetland,16.898590330000001,1237.160138460000100,68386.168949900006000,0.0683862
53,PEMC,Freshwater Emergent Wetland,0.385166490000000,151.343349568000010,1558.713499949999900,0.0015587
54,PEMC,Freshwater Emergent Wetland,3.424851780000000,721.510876929000010,13859.883449999999000,0.0133993
55,PEMAf,Freshwater Emergent Wetland,0.098298580000000,70.798076435400006,397.800249988000020,0.0003978
56,PFO1A,Freshwater Forested/Shrub Wetland,12.692104680000000,979.867624259999960,51363.125449899999000,0.0513631
57,PEMC,Freshwater Emergent Wetland,1.382229800000000,293.430686467999980,5593.685550000000100,0.0055937
58,PEMC,Freshwater Emergent Wetland,5.784040820000000,2057.483364270000000,23407.182799999999000,0.0234072
59,PEMAf,Freshwater Emergent Wetland,0.098297740000000,70.798037575199999,397.796849975999980,0.0003960
60,PFO1A,Freshwater Forested/Shrub Wetland,5.326206310000000,709.033364739000040,21554.392249900000000,0.0215544
61,PFO1A,Freshwater Forested/Shrub Wetland,0.484618390000000,176.850000486999990,1961.181050019999900,0.0019612
62,PEMCh,Freshwater Emergent Wetland,0.534469380000000,205.838022991999990,2162.920850080000000,0.0021629
63,PFO1A,Freshwater Forested/Shrub Wetland,3.269068280000000,579.331736664999990,13229.450000100000000,0.0042609
64,PEM/SS1C,Freshwater Emergent Wetland,0.998231740000000,355.080306321000020,4039.700549940000200,0.0040397
65,PSS1C,Freshwater Forested/Shrub Wetland,0.901221770000000,316.094699150000000,3647.115100070000200,0.0036471
66,PFO1C,Freshwater Forested/Shrub Wetland,1.213122770000000,308.380894296000010,4909.333700000000100,0.0003654
67,PFO1A,Freshwater Forested/Shrub Wetland,0.600441070000000,200.841731528000000,2429.898799959999900,0.0024299
68,PFO1A,Freshwater Forested/Shrub Wetland,120.736326760000000,7454.759056769999900,488602.544111000020000,0.0263915
69,PFO1A,Freshwater Forested/Shrub Wetland,4.044460460000000,555.276870738999950,16367.327337500001000,0.0163673
70,PFO1A,Freshwater Forested/Shrub Wetland,0.696341580000000,222.292888229999990,2817.994399979999800,0.0000219
71,PEMCf,Freshwater Emergent Wetland,2.082604610000000,343.670335454999990,8428.001849950000200,0.0084280
72,PFO1A,Freshwater Forested/Shrub Wetland,4.620358730000000,589.083587323999950,18697.928450100000000,0.0022604
73,PFO1C,Freshwater Forested/Shrub Wetland,51.195793950000002,2363.619413739999800,207182.027949999990000,0.0057567
74,PEMAh,Freshwater Emergent Wetland,4.063436470000000,917.266917638000000,16444.144000000000000,0.0164441
75,PEMAf,Freshwater Emergent Wetland,1.838846160000000,392.628894070999990,7441.546399930000000,0.0058443
76,PEMAf,Freshwater Emergent Wetland,1.563796820000000,452.052072307000000,6328.461199960000200,0.0063285
77,PEMFh,Freshwater Emergent Wetland,0.236644530000000,113.106684738000000,957.666449949000030,0.0009577
78,PFO1C,Freshwater Forested/Shrub Wetland,5.702623390000000,1248.709345750000000,23077.698150000000000,0.0230777
79,PFO1A,Freshwater Forested/Shrub Wetland,0.829063070000000,234.303663362000010,3355.099199939999800,0.0033551
80,PEM/SS1A,Freshwater Emergent Wetland,1.744660460000000,361.068381161999980,7060.390399980000400,0.0069351
81,PEMF,Freshwater Emergent Wetland,0.111896360000000,79.652147017700003,452.828499957000020,0.0004528
82,PEMAf,Freshwater Emergent Wetland,0.181331820000000,118.654915875000000,733.823850003999950,0.0007338
83,PFO1A,Freshwater Forested/Shrub Wetland,28.343200690000000,3481.205735600000000,114700.863950000000000,0.0070629
84,PFO1A,Freshwater Forested/Shrub Wetland,5.484401570000000,841.774582596999950,22194.585749999998000,0.0152512
85,PFO1A,Freshwater Forested/Shrub Wetland,19.441807250000000,1613.445853989999900,78678.202700199996000,0.0786782
86,PFO1A,Freshwater Forested/Shrub Wetland,12.391974480000000,1148.385492960000000,50148.541599800003000,0.0064241
87,PFO1A,Freshwater Forested/Shrub Wetland,2.819664760000000,448.102181910000010,11410.778450000000000,0.0090575
88,PEMC,Freshwater Emergent Wetland,0.098318960000000,70.805549791100006,397.882700000999990,0.0003979
89,PFO1C,Freshwater Forested/Shrub Wetland,0.719781380000000,222.619128749000000,2912.851900029999800,0.0028644
90,PSS1C,Freshwater Forested/Shrub Wetland,1.188536060000000,286.524137110000030,4809.834799960000100,0.0048098
91,PFO1A,Freshwater Forested/Shrub Wetland,146.495112400000010,7967.383661709999600,592844.561662000020000,0.5928450
92,PEMAf,Freshwater Emergent Wetland,0.316356130000000,136.842502894000010,1280.247850010000100,0.0012803
93,PFO1A,Freshwater Forested/Shrub Wetland,11.037769430000001,1564.072906960000000,44668.268200099999000,0.0293774
94,PFO1A,Freshwater Forested/Shrub Wetland,17.081576370000001,2035.808574220000100,69126.687150199999000,0.0691267
95,PFO1A,Freshwater Forested/Shrub Wetland,57.897231800000000,7575.124237140000300,234302.148924999990000,0.0434029
96,PFO1A,Freshwater Forested/Shrub Wetland,17.862721560000001,1637.105360060000100,72287.869599800004000,0.0722879
97,PFO1A,Freshwater Forested/Shrub Wetland,9.120297280000001,1554.826803630000100,36908.533700000000000,0.0002697
98,PFO1A,Freshwater Forested/Shrub Wetland,22.824291039999999,1859.123479619999900,92366.628950099999000,0.0028147
99,PFO1A,Freshwater Forested/Shrub Wetland,9.699250429999999,1472.781870829999900,39251.473949899999000,0.0216155
100,PSS1C,Freshwater Forested/Shrub Wetland,0.738139900000000,196.811203449999990,2987.146200000000100,0.0029872
101,PFO1A,Freshwater Forested/Shrub Wetland,4.398027990000000,715.474573886000030,17798.187849900001000,0.0083958
102,PFO1A,Freshwater Forested/Shrub Wetland,1.831958290000000,381.639270040999970,7413.672200029999700,0.0000015
103,PFO1A,Freshwater Forested/Shrub Wetland,5.611881650000000,674.287647598000040,22710.479349900001000,0.0227105
104,PFO1A,Freshwater Forested/Shrub Wetland,28.502775650000000,4096.101108120000400,115346.469988000000000,0.1153460
105,PFO1A,Freshwater Forested/Shrub Wetland,37.044420379999998,4461.964685240000100,149913.450799999990000,0.1020910
106,PEMA,Freshwater Emergent Wetland,0.101655080000000,76.334057808300003,411.383500019000000,0.0004114
107,PEMA,Freshwater Emergent Wetland,0.501062980000000,192.898388348999990,2027.729949979999900,0.0010584
108,PFO1A,Freshwater Forested/Shrub Wetland,3.096571760000000,643.711934409000040,12531.381350000000000,0.0002708
109,PFO1Ah,Freshwater Forested/Shrub Wetland,3.041934160000000,644.926997411000000,12310.270799899999000,0.0069561
110,PEMAdf,Freshwater Emergent Wetland,1.405115230000000,294.108887229000000,5686.299600090000200,0.0056863
111,PEMAf,Freshwater Emergent Wetland,3.086139320000000,992.592298799999980,12489.162750100000000,0.0124892
112,PFO/SS1C,Freshwater Forested/Shrub Wetland,1.269498740000000,379.164453853999990,5137.479149910000200,0.0051375
113,PEMC,Freshwater Emergent Wetland,0.435682110000000,210.157024987000000,1763.142949910000000,0.0017631
114,PFO1A,Freshwater Forested/Shrub Wetland,40.340508350000000,4104.416686859999600,163252.245599999990000,0.0003269
115,PEM/SS1A,Freshwater Emergent Wetland,1.323346030000000,350.923867603000020,5355.391399979999700,0.0022516
116,PFO1A,Freshwater Forested/Shrub Wetland,9.799754419999999,2175.843600490000000,39658.077237700003000,0.0396581
117,PFO1/EMA,Freshwater Forested/Shrub Wetland,3.865368900000000,720.188828846999970,15642.593000200000000,0.0156426
118,PFO1A,Freshwater Forested/Shrub Wetland,22.188591859999999,3184.905998530000000,89794.045650000000000,0.0107113
119,PFO1A,Freshwater Forested/Shrub Wetland,193.477163460000010,5924.435531199999800,782974.878000000030000,0.7829750
120,PFO1A,Freshwater Forested/Shrub Wetland,13.185059680000000,1565.975878460000100,53358.043549900001000,0.0533580
121,PFO1A,Freshwater Forested/Shrub Wetland,15.471652030000000,2083.576426860000100,62611.554500099999000,0.0626116
122,PFO1A,Freshwater Forested/Shrub Wetland,1.427177650000000,407.337788221999970,5775.583049959999700,0.0041153
123,PEMF,Freshwater Emergent Wetland,12.426898980000001,3703.987790490000000,50289.876050200000000,0.0502899
124,PEMA,Freshwater Emergent Wetland,0.098287380000000,70.794370752999995,397.754900002000000,0.0002261
125,PFO1A,Freshwater Forested/Shrub Wetland,9.372961790000000,1488.942179140000000,37931.030699900002000,0.0098879
126,PFO1A,Freshwater Forested/Shrub Wetland,17.779495690000001,2108.397853510000000,71951.066449999998000,0.0454835
127,PFO1A,Freshwater Forested/Shrub Wetland,11.770906620000000,1053.050788450000000,47635.169149900001000,0.0476352
128,PFO1A,Freshwater Forested/Shrub Wetland,1.685331140000000,380.260347954999990,6820.293150000000400,0.0003461
129,PFO1A,Freshwater Forested/Shrub Wetland,70.560753079999998,5127.809890669999700,285549.237299999980000,0.0153557
130,PFO1A,Freshwater Forested/Shrub Wetland,43.494742320000000,3069.240889650000100,176016.977649999990000,0.0212270
131,PFO1A,Freshwater Forested/Shrub Wetland,47.092701849999997,5137.330144999999900,190577.403300000010000,0.0264274
132,PFO1A,Freshwater Forested/Shrub Wetland,81.972199779999997,6254.692121600000100,331729.723750000000000,0.0596283
133,PFO1C,Freshwater Forested/Shrub Wetland,20.652673499999999,2341.486103710000000,83578.291725000003000,0.0283236
134,PEMCh,Freshwater Emergent Wetland,0.098336650000000,70.811726438600004,397.954299995999970,0.0003980
135,PEMA,Freshwater Emergent Wetland,0.787893580000000,296.395075689000010,3188.464274909999900,0.0031885
136,PFO1A,Freshwater Forested/Shrub Wetland,1.337608230000000,339.427802574000000,5413.108450060000000,0.0054131
137,PFO1A,Freshwater Forested/Shrub Wetland,7.180379850000000,943.807572199999980,29057.966349900002000,0.0045293
138,PFO1C,Freshwater Forested/Shrub Wetland,308.392234599999990,28324.421320599999000,1248019.103519999900000,0.0356244
139,PSS1A,Freshwater Forested/Shrub Wetland,2.674603950000000,401.470548534999980,10823.738199900001000,0.0108237
140,PFO1Ad,Freshwater Forested/Shrub Wetland,4.943547810000000,582.262828816000020,20005.828250099999000,0.0200058
141,PFO1A,Freshwater Forested/Shrub Wetland,15.318375280000000,2386.746908550000200,61991.124425200003000,0.0177361
142,PFO1A,Freshwater Forested/Shrub Wetland,5.858131010000000,1016.173026360000000,23707.015149800001000,0.0237070
143,PFO1A,Freshwater Forested/Shrub Wetland,23.493877090000002,2640.216225520000100,95076.347550100007000,0.0950763
