FID,ATTRIBUTE,WETLAND_TY,ACRES,SHAPE_Leng,SHAPE_Area,AREA_km2
0,PFO1C,Freshwater Forested/Shrub Wetland,2.860286560000000,391.234118368000000,11575.169050000000000,0.0115752
1,PFO1A,Freshwater Forested/Shrub Wetland,0.625717860000000,230.432274199000010,2532.190350070000000,0.0025322
2,PFO1A,Freshwater Forested/Shrub Wetland,4.501728140000000,862.730833577000000,18217.709050000001000,0.0182177
3,PFO1A,Freshwater Forested/Shrub Wetland,20.656599790000001,1562.173560010000100,83594.293699999995000,0.0157129
4,PEMAf,Freshwater Emergent Wetland,0.231941090000000,146.319236722000000,938.632300008000020,0.0009386
5,PFO1A,Freshwater Forested/Shrub Wetland,3.871050350000000,838.255489272999970,15665.678200000000000,0.0007609
6,PFO1A,Freshwater Forested/Shrub Wetland,3.040505280000000,735.791187853000000,12304.415187500001000,0.0123044
7,PFO1A,Freshwater Forested/Shrub Wetland,6.337751260000000,972.802969901999970,25647.845799999999000,0.0256478
8,PFO1A,Freshwater Forested/Shrub Wetland,5.763888950000000,1383.287288210000000,23325.253887300001000,0.0233253
9,PFO1A,Freshwater Forested/Shrub Wetland,2.474099470000000,419.850314088999990,10012.325349999999000,0.0033868
10,PEMAf,Freshwater Emergent Wetland,0.357506430000000,175.476244441000010,1446.777200009999900,0.0014468
11,PFO1A,Freshwater Forested/Shrub Wetland,7.443761060000000,1145.678588649999900,30123.832299900001000,0.0301238
12,PFO1A,Freshwater Forested/Shrub Wetland,38.178548319999997,4265.187303269999600,154503.103750000010000,0.0041002
13,PFO1A,Freshwater Forested/Shrub Wetland,1.130971260000000,283.097809805000000,4576.878300160000400,0.0011657
14,PEMAf,Freshwater Emergent Wetland,0.422810180000000,190.411721661999990,1711.052100019999900,0.0017111
15,PFO1A,Freshwater Forested/Shrub Wetland,135.505921320000000,9182.432039459999900,548372.686663000030000,0.0132781
16,PFO1A,Freshwater Forested/Shrub Wetland,8.966898440000000,1997.041684800000000,36287.368249799998000,0.0346641
17,PEMC,Freshwater Emergent Wetland,0.376472670000000,148.623630536000010,1523.530850010000000,0.0015235
18,PEMAf,Freshwater Emergent Wetland,1.376013670000000,324.048278176000000,5568.529749930000400,0.0055685
19,PEMAf,Freshwater Emergent Wetland,0.677036090000000,197.848229295000010,2739.867850000000100,0.0027399
20,PEMCx,Freshwater Emergent Wetland,0.373839440000000,158.142196336000010,1512.874549950000100,0.0015129
21,PEMC,Freshwater Emergent Wetland,0.306774360000000,157.462803855000000,1241.471799950000100,0.0012415
22,PFO1A,Freshwater Forested/Shrub Wetland,1.304761780000000,313.953075932999980,5280.183600000000300,0.0052802
23,PEMAf,Freshwater Emergent Wetland,0.879922510000000,284.174049777999980,3560.920050060000000,0.0035609
24,PFO1A,Freshwater Forested/Shrub Wetland,0.424240030000000,152.524550541999990,1716.838500040000100,0.0017168
25,PFO1A,Freshwater Forested/Shrub Wetland,6.290813210000000,1268.223027770000000,25458.017899999999000,0.0254580
26,PEMC,Freshwater Emergent Wetland,1.758875170000000,506.642651543999990,7117.915300110000300,0.0071179
27,PFO1A,Freshwater Forested/Shrub Wetland,1.999000000000000,366.915890833999980,8089.666000109999900,0.0080897
28,PEMC,Freshwater Emergent Wetland,4.858700290000000,718.435180930999990,19662.462500000001000,0.0196625
29,PFO/SS1A,Freshwater Forested/Shrub Wetland,2.241197160000000,792.113635932999960,9069.860950009999200,0.0078417
30,PEMA,Freshwater Emergent Wetland,0.309083310000000,143.483543129000000,1250.815800020000100,0.0010912
31,PEMAf,Freshwater Emergent Wetland,0.635152730000000,215.876187082000000,2570.371899990000200,0.0025704
32,PSS1A,Freshwater Forested/Shrub Wetland,1.531683840000000,322.740937460999990,6198.504599900000400,0.0061985
33,PSS1A,Freshwater Forested/Shrub Wetland,6.790501240000000,778.973664451999980,27480.104150100000000,0.0055404
34,PSS1A,Freshwater Forested/Shrub Wetland,7.534481210000000,1194.469743919999900,30491.056175099999000,0.0141395
35,PFO1A,Freshwater Forested/Shrub Wetland,6.932858130000000,844.716915955999980,28056.281500000001000,0.0012311
36,PFO1C,Freshwater Forested/Shrub Wetland,1.676164260000000,382.362848069999980,6783.196099970000400,0.0067832
37,PFO1A,Freshwater Forested/Shrub Wetland,1.130787850000000,286.855368732999980,4576.136100030000300,0.0011898
38,PEMA,Freshwater Emergent Wetland,1.730126260000000,561.173791809000020,7001.572600049999900,0.0070016
39,PEMAdf,Freshwater Emergent Wetland,1.731786870000000,337.226237905999990,7008.292850070000000,0.0070083
40,PFO1A,Freshwater Forested/Shrub Wetland,207.474028040000010,9630.172465929999800,839617.604449999980000,0.0112313
41,PFO1A,Freshwater Forested/Shrub Wetland,3.040874560000000,557.297865890000030,12305.982750100000000,0.0123060
42,PEMAf,Freshwater Emergent Wetland,0.270045880000000,122.502779620000000,1092.836900000000000,0.0010928
43,PFO1A,Freshwater Forested/Shrub Wetland,6.122737940000000,1117.461220120000000,24777.841399800000000,0.0247778
44,PEMAf,Freshwater Emergent Wetland,1.254267120000000,371.480327553999980,5075.838949930000100,0.0050758
45,PFO1A,Freshwater Forested/Shrub Wetland,0.852585920000000,310.903976650999990,3450.283024970000000,0.0034503
46,PFO1C,Freshwater Forested/Shrub Wetland,1.559051170000000,568.860657266999970,6309.274739739999900,0.0063093
47,PFO1A,Freshwater Forested/Shrub Wetland,4.283205780000000,963.162016975000030,17333.518849900000000,0.0000037
48,PFO1A,Freshwater Forested/Shrub Wetland,20.554805959999999,3090.906534270000100,83182.348650000000000,0.0801501
49,PEMC,Freshwater Emergent Wetland,3.933591200000000,983.912503438000040,15918.678850000000000,0.0159187
50,PSS1A,Freshwater Forested/Shrub Wetland,1.860065320000000,461.714314694999980,7527.417300119999700,0.0075274
51,PSS1C,Freshwater Forested/Shrub Wetland,0.628439120000000,232.966528339000010,2543.202900000000200,0.0025432
52,PFO1A,Freshwater Forested/Shrub Wetland,1.987330230000000,433.842519419999970,8042.440100079999900,0.0080424
53,PEMCh,Freshwater Emergent Wetland,0.734942280000000,269.305776716000030,2974.205899940000100,0.0029742
54,PFO1A,Freshwater Forested/Shrub Wetland,7.226871450000000,901.481679374000010,29246.029600200000000,0.0218967
55,PSS1A,Freshwater Forested/Shrub Wetland,24.359237190000002,3339.809082360000000,98578.744087400002000,0.0985787
56,PEMC,Freshwater Emergent Wetland,3.876387220000000,966.716826731999960,15687.182550199999000,0.0156872
57,PFO1A,Freshwater Forested/Shrub Wetland,3.824140570000000,1084.327730460000100,15475.742575300001000,0.0078478
58,PFO1A,Freshwater Forested/Shrub Wetland,0.595546480000000,219.126095496000000,2410.134950080000200,0.0024101
59,PFO1A,Freshwater Forested/Shrub Wetland,3.052164220000000,803.590934576000000,12351.764625000000000,0.0123518
