FID,ATTRIBUTE,WETLAND_TY,ACRES,SHAPE_Leng,SHAPE_Area,AREA_km2
0,PFO1A,Freshwater Forested/Shrub Wetland,20.656599790000001,1562.173560010000100,83594.293699999995000,0.0157129
1,PFO1A,Freshwater Forested/Shrub Wetland,2.474099470000000,419.850314088999990,10012.325349999999000,0.0033868
2,PFO1A,Freshwater Forested/Shrub Wetland,7.443761060000000,1145.678588649999900,30123.832299900001000,0.0301238
3,PSS1C,Freshwater Forested/Shrub Wetland,0.628439120000000,232.966528339000010,2543.202900000000200,0.0025432
4,PFO1A,Freshwater Forested/Shrub Wetland,8.241436110000000,938.641380641999940,33351.908699799998000,0.0073037
5,PEMA,Freshwater Emergent Wetland,0.774416270000000,264.025421364000010,3133.951450099999900,0.0031340
6,PEMB,Freshwater Emergent Wetland,1.061746660000000,339.282551609999980,4296.736299979999800,0.0042967
7,PEMC,Freshwater Emergent Wetland,0.749968500000000,253.007053109999990,3035.014849969999900,0.0030350
8,PEMAd,Freshwater Emergent Wetland,0.860295650000000,251.145918738000010,3481.492999910000000,0.0034815
9,PEMA,Freshwater Emergent Wetland,0.430431360000000,229.353539302000000,1741.893899940000000,0.0017419
10,PFO1A,Freshwater Forested/Shrub Wetland,1.160689030000000,262.090975333000020,4697.141850000000000,0.0046971
11,PFO1/EMA,Freshwater Forested/Shrub Wetland,12.251510820000000,1029.793771950000100,49580.105349999998000,0.0051721
12,PFO1A,Freshwater Forested/Shrub Wetland,120.799175980000000,12960.947278500000000,488856.922049999990000,0.4137900
13,PEMA,Freshwater Emergent Wetland,0.437931140000000,163.966596175000010,1772.244450010000000,0.0017722
14,PFO1A,Freshwater Forested/Shrub Wetland,68.392678869999997,7724.795464200000400,276775.352250000000000,0.2195400
15,PFO1A,Freshwater Forested/Shrub Wetland,1.498968140000000,378.064148918999990,6066.108850100000400,0.0040694
16,PSS1/EMA,Freshwater Forested/Shrub Wetland,4.218778300000000,539.320919976000030,17072.790099999998000,0.0037012
17,PEMC,Freshwater Emergent Wetland,0.695583970000000,238.686891116999990,2814.928450020000100,0.0021671
18,PEMA,Freshwater Emergent Wetland,1.261216730000000,325.750490547000030,5103.963050020000100,0.0043098
19,PEMA,Freshwater Emergent Wetland,3.392296240000000,517.170819221999980,13728.135850000001000,0.0137281
20,PEMA,Freshwater Emergent Wetland,0.745211190000000,236.611933497000000,3015.762699899999900,0.0030158
21,PFO/SS1A,Freshwater Forested/Shrub Wetland,5.296531930000000,605.653985337999980,21434.304299899999000,0.0214343
22,PFO1A,Freshwater Forested/Shrub Wetland,71.809112159999998,5616.460125929999800,290601.167300999980000,0.1122050
23,PFO1A,Freshwater Forested/Shrub Wetland,7.790984400000000,1020.471395270000000,31528.995299999999000,0.0315290
24,PFO1C,Freshwater Forested/Shrub Wetland,0.994190920000000,274.157395964999980,4023.347899980000000,0.0040233
25,PFO1A,Freshwater Forested/Shrub Wetland,5.790889890000000,647.352749993999960,23434.899999900001000,0.0222396
26,PFO1A,Freshwater Forested/Shrub Wetland,1.427407100000000,423.690350744000000,5776.511600220000200,0.0033883
27,PFO1A,Freshwater Forested/Shrub Wetland,7.932811530000000,1703.867550930000100,32102.949349899998000,0.0303113
28,PFO1A,Freshwater Forested/Shrub Wetland,6.965500900000000,697.785903192999970,28188.382099999999000,0.0281884
29,PSS1A,Freshwater Forested/Shrub Wetland,4.265126820000000,577.747917417000050,17260.355899900002000,0.0003894
30,PFO1A,Freshwater Forested/Shrub Wetland,12.942844760000000,2234.915051060000200,52377.834550300002000,0.0505565
31,PFO1A,Freshwater Forested/Shrub Wetland,3.388774060000000,453.575468801999990,13713.882100000001000,0.0018999
32,PEMAd,Freshwater Emergent Wetland,0.391572500000000,171.488617494000010,1584.637699960000000,0.0015246
33,PEMF,Freshwater Emergent Wetland,2.405617490000000,595.006217419000000,9735.188599909999500,0.0091085
34,PFO1A,Freshwater Forested/Shrub Wetland,0.811979680000000,322.368284711999990,3285.965200149999900,0.0032860
35,PFO1A,Freshwater Forested/Shrub Wetland,50.756449000000003,4162.936693059999900,205404.062000000010000,0.0615631
36,PFO1A,Freshwater Forested/Shrub Wetland,2.055254210000000,400.273535053999980,8317.318700070000000,0.0000010
37,PEMAf,Freshwater Emergent Wetland,0.402296010000000,149.783731569999990,1628.034200040000100,0.0016280
