FID,ATTRIBUTE,WETLAND_TY,ACRES,SHAPE_Leng,SHAPE_Area,AREA_km2
0,PFO1C,Freshwater Forested/Shrub Wetland,2.860286560000000,391.234118368000000,11575.169050000000000,0.0115752
1,PFO1A,Freshwater Forested/Shrub Wetland,0.625717860000000,230.432274199000010,2532.190350070000000,0.0025322
2,PFO1A,Freshwater Forested/Shrub Wetland,4.501728140000000,862.730833577000000,18217.709050000001000,0.0182177
3,PEMAf,Freshwater Emergent Wetland,0.944742450000000,247.785076971000000,3823.237050000000200,0.0038232
4,PFO1C,Freshwater Forested/Shrub Wetland,57.279232020000002,4145.713601370000100,231800.828400000000000,0.1822260
5,PEMAf,Freshwater Emergent Wetland,0.231941090000000,146.319236722000000,938.632300008000020,0.0009386
6,PEMA,Freshwater Emergent Wetland,0.036617770000000,47.392427248099999,148.186849990000010,0.0001482
7,PEMA,Freshwater Emergent Wetland,3.276429980000000,464.783672255999990,13259.241749999999000,0.0132592
8,PFO1A,Freshwater Forested/Shrub Wetland,3.040505280000000,735.791187853000000,12304.415187500001000,0.0123044
9,PFO1A,Freshwater Forested/Shrub Wetland,2.139271670000000,417.412258592999990,8657.325299969999800,0.0086573
10,PEMC,Freshwater Emergent Wetland,0.144897640000000,88.830094828100002,586.379950020000020,0.0005864
11,PEMA,Freshwater Emergent Wetland,1.445398190000000,413.926525506000020,5849.318950050000200,0.0058493
12,PEMA,Freshwater Emergent Wetland,0.187251530000000,104.745157776000000,757.780050018999990,0.0007578
13,PFO1A,Freshwater Forested/Shrub Wetland,6.337751260000000,972.802969901999970,25647.845799999999000,0.0256478
14,PFO1A,Freshwater Forested/Shrub Wetland,5.763888950000000,1383.287288210000000,23325.253887300001000,0.0233253
15,PEMAf,Freshwater Emergent Wetland,0.357506430000000,175.476244441000010,1446.777200009999900,0.0014468
16,PEMAf,Freshwater Emergent Wetland,2.149404880000000,477.403493754000010,8698.332949960000400,0.0086983
17,PFO1C,Freshwater Forested/Shrub Wetland,30.319389050000002,1834.265052980000100,122698.214550000000000,0.0152481
18,PFO1C,Freshwater Forested/Shrub Wetland,9.867637410000000,1327.163632889999900,39932.911899799998000,0.0399329
19,PEMAf,Freshwater Emergent Wetland,1.459005680000000,317.215529478000010,5904.386500079999700,0.0059044
20,PFO1A,Freshwater Forested/Shrub Wetland,1.130971260000000,283.097809805000000,4576.878300160000400,0.0011657
21,PEMAf,Freshwater Emergent Wetland,0.422810180000000,190.411721661999990,1711.052100019999900,0.0017111
22,PFO1A,Freshwater Forested/Shrub Wetland,8.966898440000000,1997.041684800000000,36287.368249799998000,0.0346641
23,PEMC,Freshwater Emergent Wetland,0.376472670000000,148.623630536000010,1523.530850010000000,0.0015235
24,PEMAf,Freshwater Emergent Wetland,1.376013670000000,324.048278176000000,5568.529749930000400,0.0055685
25,PEMAf,Freshwater Emergent Wetland,0.677036090000000,197.848229295000010,2739.867850000000100,0.0027399
26,PEMCx,Freshwater Emergent Wetland,0.373839440000000,158.142196336000010,1512.874549950000100,0.0015129
27,PEMC,Freshwater Emergent Wetland,0.306774360000000,157.462803855000000,1241.471799950000100,0.0012415
28,PFO1C,Freshwater Forested/Shrub Wetland,13.339378249999999,1495.272756269999900,53982.548649999997000,0.0386944
29,PEMAf,Freshwater Emergent Wetland,0.879922510000000,284.174049777999980,3560.920050060000000,0.0035609
30,PFO1A,Freshwater Forested/Shrub Wetland,6.290813210000000,1268.223027770000000,25458.017899999999000,0.0254580
31,PFO1C,Freshwater Forested/Shrub Wetland,1.976732750000000,500.253408055000020,7999.553650030000400,0.0076626
32,PEMAf,Freshwater Emergent Wetland,0.112332060000000,80.391202035199996,454.591699963000000,0.0004546
33,PEMC,Freshwater Emergent Wetland,1.758875170000000,506.642651543999990,7117.915300110000300,0.0071179
34,PSS1/EMA,Freshwater Forested/Shrub Wetland,11.451521820000000,1487.573147750000100,46342.664699800000000,0.0463427
35,PEMAf,Freshwater Emergent Wetland,0.344675270000000,136.346888309000010,1394.851349970000000,0.0013948
36,PEMC,Freshwater Emergent Wetland,4.858700290000000,718.435180930999990,19662.462500000001000,0.0196625
37,PFO/SS1A,Freshwater Forested/Shrub Wetland,2.241197160000000,792.113635932999960,9069.860950009999200,0.0078417
38,PFO1A,Freshwater Forested/Shrub Wetland,0.958281520000000,284.699311535999980,3878.027750029999900,0.0038780
39,PEMAf,Freshwater Emergent Wetland,0.635152730000000,215.876187082000000,2570.371899990000200,0.0025704
40,PSS1A,Freshwater Forested/Shrub Wetland,1.531683840000000,322.740937460999990,6198.504599900000400,0.0061985
41,PSS1A,Freshwater Forested/Shrub Wetland,6.790501240000000,778.973664451999980,27480.104150100000000,0.0055404
42,PFO1A,Freshwater Forested/Shrub Wetland,1.544217270000000,323.630086280000000,6249.225599970000100,0.0062492
43,PFO1C,Freshwater Forested/Shrub Wetland,1.676164260000000,382.362848069999980,6783.196099970000400,0.0067832
44,PFO1A,Freshwater Forested/Shrub Wetland,1.130787850000000,286.855368732999980,4576.136100030000300,0.0011898
45,PEMA,Freshwater Emergent Wetland,1.038113420000000,308.236487338000020,4201.095949960000300,0.0042011
46,PEMC,Freshwater Emergent Wetland,0.416694480000000,170.427030492999990,1686.302750000000100,0.0016863
47,PEMA,Freshwater Emergent Wetland,1.730126260000000,561.173791809000020,7001.572600049999900,0.0070016
48,PEMAdf,Freshwater Emergent Wetland,1.731786870000000,337.226237905999990,7008.292850070000000,0.0070083
49,PFO1C,Freshwater Forested/Shrub Wetland,2.139048320000000,471.607946469000010,8656.421450080000800,0.0024029
50,PFO1A,Freshwater Forested/Shrub Wetland,9.369421760000000,1189.559220300000100,37916.704700200004000,0.0125142
51,PFO1C,Freshwater Forested/Shrub Wetland,1.228338920000000,361.456619145999980,4970.911250039999700,0.0049709
52,PFO1C,Freshwater Forested/Shrub Wetland,30.362594330000000,2186.027371149999900,122873.060100000000000,0.0069872
53,PEMAf,Freshwater Emergent Wetland,0.270045880000000,122.502779620000000,1092.836900000000000,0.0010928
54,PEMC,Freshwater Emergent Wetland,32.158606140000003,1724.277718119999900,130141.262050000000000,0.0045097
55,PEMAf,Freshwater Emergent Wetland,1.254267120000000,371.480327553999980,5075.838949930000100,0.0050758
56,PSS1A,Freshwater Forested/Shrub Wetland,1.459068390000000,298.585089274999970,5904.640300009999900,0.0059046
57,PFO1A,Freshwater Forested/Shrub Wetland,0.852585920000000,310.903976650999990,3450.283024970000000,0.0034503
58,PFO1C,Freshwater Forested/Shrub Wetland,1.559051170000000,568.860657266999970,6309.274739739999900,0.0063093
59,PFO1A,Freshwater Forested/Shrub Wetland,4.283205780000000,963.162016975000030,17333.518849900000000,0.0000037
