FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
9,51553,1115,161970,81200,11.5000000,34.5000000,59.4000015,75.0000000,85.8000031,3.5999999,46.0000000,69.0000000,180.3999939,266.2000122,269.7999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,7569.0000000,8495.5498047,5437.5000000,4028.1000977,139.1999969,10092.0000000,14255.0000000,24025.0996094,28053.1992188,28192.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7500000,0.4800000,0.0000000,0.7500000,100,150,266,0,100,100,161970,0.0541389
13,51602,1137,161993,81223,11.5000000,34.5000000,68.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,219.1999969,307.0000000,310.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,6685.9501953,10448.7001953,7612.5000000,5742.0000000,217.5000000,9208.9501953,12993.5000000,27270.1992188,33012.1015625,33229.6015625,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8400000,0.3500000,0.0000000,0.8400000,100,150,307,0,100,100,161993,0.0236689
20,51663,1115,161970,81200,11.5000000,34.5000000,59.4000015,75.0000000,85.8000031,3.5999999,46.0000000,69.0000000,180.3999939,266.2000122,269.7999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,7569.0000000,8495.5498047,5437.5000000,4028.1000977,139.1999969,10092.0000000,14255.0000000,24025.0996094,28053.1992188,28192.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7500000,0.4800000,0.0000000,0.7500000,100,150,266,0,100,100,161970,0.0128900
22,51674,1128,161984,81214,20.0000000,60.0000000,120.0000000,172.9400024,90.2500000,95.6600037,80.0000000,120.0000000,372.9400024,463.1900024,558.8499756,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,5437.5000000,16312.5000000,26752.5000000,37581.3984375,12548.7998047,13301.7001953,21750.0000000,31102.5000000,86083.8984375,98632.7031250,111934.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9000000,0.6100000,0.0000000,0.9000000,80,150,466,0,100,100,161984,0.0137031
32,52256,1137,161993,81223,11.5000000,34.5000000,68.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,219.1999969,307.0000000,310.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,6685.9501953,10448.7001953,7612.5000000,5742.0000000,217.5000000,9208.9501953,12993.5000000,27270.1992188,33012.1015625,33229.6015625,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8400000,0.3500000,0.0000000,0.8400000,100,150,307,0,100,100,161993,0.0291577
46,52580,1137,161993,81223,11.5000000,34.5000000,68.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,219.1999969,307.0000000,310.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,6685.9501953,10448.7001953,7612.5000000,5742.0000000,217.5000000,9208.9501953,12993.5000000,27270.1992188,33012.1015625,33229.6015625,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8400000,0.3500000,0.0000000,0.8400000,100,150,307,0,100,100,161993,0.0039375
47,52588,1137,161993,81223,11.5000000,34.5000000,68.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,219.1999969,307.0000000,310.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,6685.9501953,10448.7001953,7612.5000000,5742.0000000,217.5000000,9208.9501953,12993.5000000,27270.1992188,33012.1015625,33229.6015625,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8400000,0.3500000,0.0000000,0.8400000,100,150,307,0,100,100,161993,0.0001000
48,52595,1137,161993,81223,11.5000000,34.5000000,68.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,219.1999969,307.0000000,310.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,6685.9501953,10448.7001953,7612.5000000,5742.0000000,217.5000000,9208.9501953,12993.5000000,27270.1992188,33012.1015625,33229.6015625,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8400000,0.3500000,0.0000000,0.8400000,100,150,307,0,100,100,161993,0.0001000
49,52604,1137,161993,81223,11.5000000,34.5000000,68.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,219.1999969,307.0000000,310.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,6685.9501953,10448.7001953,7612.5000000,5742.0000000,217.5000000,9208.9501953,12993.5000000,27270.1992188,33012.1015625,33229.6015625,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8400000,0.3500000,0.0000000,0.8400000,100,150,307,0,100,100,161993,0.0001000
50,52614,1137,161993,81223,11.5000000,34.5000000,68.1999969,105.0000000,87.8000031,3.4000001,46.0000000,69.0000000,219.1999969,307.0000000,310.3999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,6685.9501953,10448.7001953,7612.5000000,5742.0000000,217.5000000,9208.9501953,12993.5000000,27270.1992188,33012.1015625,33229.6015625,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8400000,0.3500000,0.0000000,0.8400000,100,150,307,0,100,100,161993,0.0001000
