FID,ATTRIBUTE,WETLAND_TY,ACRES,SHAPE_Leng,SHAPE_Area,AREA_km2
0,PEMC,Freshwater Emergent Wetland,0.649918740000000,197.423949880000010,2630.127849990000000,0.0026301
1,PFO1A,Freshwater Forested/Shrub Wetland,2.908227300000000,547.258005467999960,11769.178350000000000,0.0015936
2,PFO1A,Freshwater Forested/Shrub Wetland,2.351360930000000,406.668158659000030,9515.620100100000900,0.0095156
3,PFO1A,Freshwater Forested/Shrub Wetland,15.067211439999999,1973.797054319999900,60974.841499900002000,0.0027138
4,PFO1A,Freshwater Forested/Shrub Wetland,20.656599790000001,1562.173560010000100,83594.293699999995000,0.0157129
5,PFO1A,Freshwater Forested/Shrub Wetland,202.218476340000000,16674.230637799999000,818349.141250999990000,0.3878520
6,PFO1A,Freshwater Forested/Shrub Wetland,5.715960810000000,928.364250673000020,23131.672750099999000,0.0071311
7,PFO1A,Freshwater Forested/Shrub Wetland,4.017911190000000,785.311280604999980,16259.909750100000000,0.0162599
8,PFO1A,Freshwater Forested/Shrub Wetland,11.319780930000000,863.187614692000010,45809.528250000003000,0.0458095
9,PFO1A,Freshwater Forested/Shrub Wetland,12.444786890000000,2262.544270809999900,50362.611624700003000,0.0503626
10,PFO1C,Freshwater Forested/Shrub Wetland,0.627668000000000,200.724049264000000,2540.082299990000100,0.0025401
11,PSS1A,Freshwater Forested/Shrub Wetland,1.205512110000000,279.174650403999980,4878.534449990000200,0.0048785
12,PFO1A,Freshwater Forested/Shrub Wetland,74.892827069999996,5241.004942399999900,303080.518800000020000,0.3030810
13,PEMAf,Freshwater Emergent Wetland,0.098317750000000,70.804729297400002,397.877800005999970,0.0003979
14,PFO1A,Freshwater Forested/Shrub Wetland,2.474099470000000,419.850314088999990,10012.325349999999000,0.0033868
15,PEMAh,Freshwater Emergent Wetland,2.268121780000000,577.144532123999970,9178.763199999999400,0.0091788
16,PFO1A,Freshwater Forested/Shrub Wetland,38.839516809999999,6490.129960360000000,157180.271400000000000,0.1499940
17,PFO1A,Freshwater Forested/Shrub Wetland,172.090403570000010,11896.012049900000000,696425.156250000000000,0.2368760
18,PEMA,Freshwater Emergent Wetland,0.295588480000000,127.747049159000000,1196.204149989999900,0.0008003
19,PFO1A,Freshwater Forested/Shrub Wetland,7.443761060000000,1145.678588649999900,30123.832299900001000,0.0301238
20,PEMF,Freshwater Emergent Wetland,12.750113880000001,2755.264442929999900,51597.880349899999000,0.0515979
21,PFO1A,Freshwater Forested/Shrub Wetland,98.217053800000002,14139.697644700000000,397470.436339000010000,0.3677170
22,PFO1A,Freshwater Forested/Shrub Wetland,36.864296760000002,1818.516321450000100,149184.516399999990000,0.0092737
23,PFO1A,Freshwater Forested/Shrub Wetland,39.012729919999998,4096.246083560000400,157878.697938000000000,0.1262130
24,PSS1A,Freshwater Forested/Shrub Wetland,4.229636240000000,645.224837435000040,17116.730599999999000,0.0171167
25,PFO1A,Freshwater Forested/Shrub Wetland,2.241073510000000,495.522460928999980,9069.302750119999500,0.0065767
26,PEMC,Freshwater Emergent Wetland,1.442634360000000,296.748985369000020,5838.134150070000000,0.0058381
27,PSS1A,Freshwater Forested/Shrub Wetland,47.837127299999999,3872.769379720000000,193589.986200000010000,0.1935900
28,PFO1A,Freshwater Forested/Shrub Wetland,18.810841329999999,2575.504199130000000,76124.774200100001000,0.0761248
29,PFO1A,Freshwater Forested/Shrub Wetland,1.520523250000000,432.494462634000000,6153.339299979999900,0.0061533
30,PFO1A,Freshwater Forested/Shrub Wetland,8.049128150000000,1638.513195680000100,32573.665999900000000,0.0325737
31,PSS1A,Freshwater Forested/Shrub Wetland,5.851015430000000,684.231332887000010,23678.196300000000000,0.0236782
32,PFO1A,Freshwater Forested/Shrub Wetland,3.496098270000000,680.820582014000020,14148.207749900001000,0.0141482
33,PFO1A,Freshwater Forested/Shrub Wetland,5.979542000000000,1092.467432660000000,24198.348000000002000,0.0241983
34,PFO1A,Freshwater Forested/Shrub Wetland,12.596979129999999,2086.662207549999900,50978.070549999997000,0.0485090
35,PEMA,Freshwater Emergent Wetland,0.577394600000000,216.390628815000010,2336.634124969999900,0.0023366
36,PEMA,Freshwater Emergent Wetland,12.590336980000000,1058.798228509999900,50951.719400100003000,0.0509517
37,PFO1A,Freshwater Forested/Shrub Wetland,11.375254249999999,2031.257758000000000,46034.020799799997000,0.0017000
38,PFO1A,Freshwater Forested/Shrub Wetland,3.979654810000000,771.887010537000040,16105.120924900000000,0.0161051
39,PEMA,Freshwater Emergent Wetland,0.464690540000000,202.937582198999990,1880.523812520000100,0.0018805
40,PSS1C,Freshwater Forested/Shrub Wetland,0.628439120000000,232.966528339000010,2543.202900000000200,0.0025432
41,PFO1A,Freshwater Forested/Shrub Wetland,15.940429160000001,1583.197038250000100,64509.100237699997000,0.0638799
42,PFO1F,Freshwater Forested/Shrub Wetland,9.563889170000000,1192.014080250000000,38703.686399899998000,0.0387037
43,PFO1A,Freshwater Forested/Shrub Wetland,1.380379200000000,379.808533128000020,5586.196450000000400,0.0055862
44,PFO1A,Freshwater Forested/Shrub Wetland,1.561308460000000,375.674908109000000,6318.391200080000100,0.0030220
45,PFO1A,Freshwater Forested/Shrub Wetland,23.846922030000002,2074.124724530000100,96505.069749899994000,0.0965051
46,PFO1A,Freshwater Forested/Shrub Wetland,8.241436110000000,938.641380641999940,33351.908699799998000,0.0073037
