FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
16,13544,965,161818,84199,9.0000000,27.0000000,47.2000008,54.0000000,20.0000000,0.8000000,36.0000000,54.0000000,137.1999969,157.1999969,158.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1516.6300049,4549.8798828,6349.9199219,4275.0097656,2650.7900391,106.0299988,6066.5097656,9533.0898438,16691.4003906,19342.1992188,19448.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6200000,0.5600000,0.0000000,0.6200000,100,150,157,0,100,100,161818,0.0257481
45,14106,969,161822,84203,11.5000000,34.5000000,68.1999969,98.5999985,69.4000015,1.0000000,46.0000000,69.0000000,212.8000031,282.2000122,283.2000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,7569.0000000,11079.5000000,6916.5000000,4880.9399414,131.8699951,10092.0000000,14507.2998047,28087.9003906,32968.8984375,33100.8007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8900000,0.4300000,0.0000000,0.8900000,100,150,282,0,100,100,161822,0.0416312
52,14161,965,161818,84199,9.0000000,27.0000000,47.2000008,54.0000000,20.0000000,0.8000000,36.0000000,54.0000000,137.1999969,157.1999969,158.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1516.6300049,4549.8798828,6349.9199219,4275.0097656,2650.7900391,106.0299988,6066.5097656,9533.0898438,16691.4003906,19342.1992188,19448.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6200000,0.5600000,0.0000000,0.6200000,100,150,157,0,100,100,161818,0.0331692
58,14231,969,161822,84203,11.5000000,34.5000000,68.1999969,98.5999985,69.4000015,1.0000000,46.0000000,69.0000000,212.8000031,282.2000122,283.2000122,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2523.0000000,7569.0000000,11079.5000000,6916.5000000,4880.9399414,131.8699951,10092.0000000,14507.2998047,28087.9003906,32968.8984375,33100.8007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8900000,0.4300000,0.0000000,0.8900000,100,150,282,0,100,100,161822,0.0077826
63,14281,936,161789,84170,11.5000000,34.5000000,47.4000015,75.0000000,59.0000000,1.4000000,46.0000000,63.4000015,168.3999939,227.3999939,228.8000031,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2031.5500488,6094.6401367,5226.1298828,7420.7402344,5907.5097656,145.5099945,8126.1899414,10384.0000000,20773.0996094,26680.5996094,26826.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8100000,0.2300000,0.0000000,0.8100000,100,130,213,0,100,100,161789,0.0072978
64,14291,965,161818,84199,9.0000000,27.0000000,47.2000008,54.0000000,20.0000000,0.8000000,36.0000000,54.0000000,137.1999969,157.1999969,158.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1516.6300049,4549.8798828,6349.9199219,4275.0097656,2650.7900391,106.0299988,6066.5097656,9533.0898438,16691.4003906,19342.1992188,19448.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6200000,0.5600000,0.0000000,0.6200000,100,150,157,0,100,100,161818,0.0078605
65,14304,936,161789,84170,11.5000000,34.5000000,47.4000015,75.0000000,59.0000000,1.4000000,46.0000000,63.4000015,168.3999939,227.3999939,228.8000031,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2031.5500488,6094.6401367,5226.1298828,7420.7402344,5907.5097656,145.5099945,8126.1899414,10384.0000000,20773.0996094,26680.5996094,26826.0996094,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8100000,0.2300000,0.0000000,0.8100000,100,130,213,0,100,100,161789,0.0011533
72,14336,965,161818,84199,9.0000000,27.0000000,47.2000008,54.0000000,20.0000000,0.8000000,36.0000000,54.0000000,137.1999969,157.1999969,158.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1516.6300049,4549.8798828,6349.9199219,4275.0097656,2650.7900391,106.0299988,6066.5097656,9533.0898438,16691.4003906,19342.1992188,19448.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6200000,0.5600000,0.0000000,0.6200000,100,150,157,0,100,100,161818,0.0043329
81,14402,965,161818,84199,9.0000000,27.0000000,47.2000008,54.0000000,20.0000000,0.8000000,36.0000000,54.0000000,137.1999969,157.1999969,158.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1516.6300049,4549.8798828,6349.9199219,4275.0097656,2650.7900391,106.0299988,6066.5097656,9533.0898438,16691.4003906,19342.1992188,19448.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6200000,0.5600000,0.0000000,0.6200000,100,150,157,0,100,100,161818,0.0001000
102,14495,943,161796,84177,11.5000000,34.5000000,45.0000000,75.0000000,87.9000015,3.5999999,46.0000000,61.0000000,166.0000000,253.8999939,257.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2102.5000000,6307.5000000,6938.2500000,5437.5000000,3754.0500488,139.1999969,8410.0000000,12325.0000000,20785.8007813,24539.8007813,24679.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.6800000,0.4500000,0.0000000,0.6800000,100,150,254,0,100,100,161796,0.0097547
