FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
1,1213,2092,164738,77698,11.2799997,33.7700005,49.5800018,72.6500015,67.2500000,66.7799988,45.0400009,63.9399986,167.2799988,234.5200043,301.2999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1983.0200195,5932.6601563,5123.2998047,5655.2900391,5055.5698242,2916.1999512,7915.6801758,10563.0996094,18694.3007813,23749.8007813,26666.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9000000,0.2400000,0.0000000,0.9000000,80,150,230,0,92,100,164738,0.0161408
2,1222,2092,164738,77698,11.2799997,33.7700005,49.5800018,72.6500015,67.2500000,66.7799988,45.0400009,63.9399986,167.2799988,234.5200043,301.2999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1983.0200195,5932.6601563,5123.2998047,5655.2900391,5055.5698242,2916.1999512,7915.6801758,10563.0996094,18694.3007813,23749.8007813,26666.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9000000,0.2400000,0.0000000,0.9000000,80,150,230,0,92,100,164738,0.0014554
3,1243,2040,164675,77662,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,164675,0.0200040
12,1282,2092,164738,77698,11.2799997,33.7700005,49.5800018,72.6500015,67.2500000,66.7799988,45.0400009,63.9399986,167.2799988,234.5200043,301.2999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1983.0200195,5932.6601563,5123.2998047,5655.2900391,5055.5698242,2916.1999512,7915.6801758,10563.0996094,18694.3007813,23749.8007813,26666.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9000000,0.2400000,0.0000000,0.9000000,80,150,230,0,92,100,164738,0.0005550
13,1285,2092,164738,77698,11.2799997,33.7700005,49.5800018,72.6500015,67.2500000,66.7799988,45.0400009,63.9399986,167.2799988,234.5200043,301.2999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1983.0200195,5932.6601563,5123.2998047,5655.2900391,5055.5698242,2916.1999512,7915.6801758,10563.0996094,18694.3007813,23749.8007813,26666.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9000000,0.2400000,0.0000000,0.9000000,80,150,230,0,92,100,164738,0.0063696
20,1330,2040,164675,77662,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,164675,0.0445046
21,1332,2066,164704,77696,20.0000000,60.0000000,120.0000000,172.9400024,90.2500000,95.6600037,80.0000000,120.0000000,372.9400024,463.1900024,558.8499756,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,5437.5000000,16312.5000000,26752.5000000,37581.3984375,12548.7998047,13301.7001953,21750.0000000,31102.5000000,86083.8984375,98632.7031250,111934.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9000000,0.6100000,0.0000000,0.9000000,80,150,466,0,100,100,164704,0.0066140
22,1334,2092,164738,77698,11.2799997,33.7700005,49.5800018,72.6500015,67.2500000,66.7799988,45.0400009,63.9399986,167.2799988,234.5200043,301.2999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1983.0200195,5932.6601563,5123.2998047,5655.2900391,5055.5698242,2916.1999512,7915.6801758,10563.0996094,18694.3007813,23749.8007813,26666.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9000000,0.2400000,0.0000000,0.9000000,80,150,230,0,92,100,164738,0.0166923
23,1335,2092,164738,77698,11.2799997,33.7700005,49.5800018,72.6500015,67.2500000,66.7799988,45.0400009,63.9399986,167.2799988,234.5200043,301.2999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1983.0200195,5932.6601563,5123.2998047,5655.2900391,5055.5698242,2916.1999512,7915.6801758,10563.0996094,18694.3007813,23749.8007813,26666.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9000000,0.2400000,0.0000000,0.9000000,80,150,230,0,92,100,164738,0.0486979
33,1395,2040,164675,77662,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,164675,0.0090713
