FID,ATTRIBUTE,WETLAND_TY,ACRES,SHAPE_Leng,SHAPE_Area,AREA_km2
0,PEMA,Freshwater Emergent Wetland,1.936650890000000,342.556542885999990,7837.348100049999600,0.0078373
1,PFO1A,Freshwater Forested/Shrub Wetland,0.336403690000000,148.750202417000000,1361.377450020000000,0.0013614
2,PFO1A,Freshwater Forested/Shrub Wetland,0.103739570000000,76.142205844499998,419.819149988999980,0.0004198
3,PEMA,Freshwater Emergent Wetland,2.659973230000000,564.148302939000020,10764.529749900001000,0.0107645
4,PFO1A,Freshwater Forested/Shrub Wetland,9.682269890000001,1543.256619860000000,39182.756149900000000,0.0082550
5,PEMAf,Freshwater Emergent Wetland,0.130085840000000,87.688422328700000,526.438699971000010,0.0005264
6,PFO/SS1A,Freshwater Forested/Shrub Wetland,16.148106400000000,1450.310976290000100,65348.924725099998000,0.0452660
7,PEMAf,Freshwater Emergent Wetland,1.450162700000000,304.027671352000030,5868.600249950000000,0.0058686
8,PEMFh,Freshwater Emergent Wetland,0.192323600000000,106.624453970999990,778.306000028999960,0.0007783
9,PFO1A,Freshwater Forested/Shrub Wetland,73.083687479999995,4310.232238720000200,295759.190599999970000,0.0108844
10,PSS1A,Freshwater Forested/Shrub Wetland,6.445122130000000,610.944002814999980,26082.547099899999000,0.0079990
11,PFO1A,Freshwater Forested/Shrub Wetland,11.762045060000000,1078.121588510000000,47599.307699899997000,0.0475993
12,PEMA,Freshwater Emergent Wetland,0.989520620000000,307.374954401000020,4004.447900059999900,0.0040045
13,PFO1C,Freshwater Forested/Shrub Wetland,1.951887760000000,401.736534844000000,7899.009549989999900,0.0078990
14,PFO1A,Freshwater Forested/Shrub Wetland,1.673109330000000,345.992537787000000,6770.833249940000300,0.0067708
15,PFO1A,Freshwater Forested/Shrub Wetland,9.261397669999999,1037.211693779999900,37479.546699999999000,0.0129077
16,PFO1A,Freshwater Forested/Shrub Wetland,23.345229199999999,1476.079944910000000,94474.790899900006000,0.0275916
17,PSS1C,Freshwater Forested/Shrub Wetland,0.486376250000000,168.020364782999990,1968.294849950000100,0.0019683
18,PFO1A,Freshwater Forested/Shrub Wetland,12.433361240000000,2945.398580229999900,50316.027899900000000,0.0503160
19,PFO1A,Freshwater Forested/Shrub Wetland,6.834416460000000,1156.218782220000100,27657.902200000000000,0.0276579
20,PFO1A,Freshwater Forested/Shrub Wetland,41.702488430000002,3281.280189350000000,168763.983450000000000,0.0012698
21,PEMA,Freshwater Emergent Wetland,2.101458320000000,425.155765546000000,8504.300100029999200,0.0085043
22,PFO1C,Freshwater Forested/Shrub Wetland,3.755245900000000,797.142572710999960,15196.940999900000000,0.0110549
23,PFO1C,Freshwater Forested/Shrub Wetland,0.318860580000000,156.779032766999990,1290.382999960000000,0.0012904
24,PSS1A,Freshwater Forested/Shrub Wetland,3.535962750000000,736.239268659999990,14309.533600200000000,0.0023686
25,PFO1A,Freshwater Forested/Shrub Wetland,35.037319359999998,2505.373270820000000,141791.001150000000000,0.0611609
26,PEMAf,Freshwater Emergent Wetland,0.720488950000000,226.512821607000010,2915.715349890000200,0.0000061
27,PEMFx,Freshwater Emergent Wetland,7.352509030000000,1835.848116950000100,29754.548450300001000,0.0297545
28,PEMC,Freshwater Emergent Wetland,0.450748520000000,162.755031252000010,1824.114549980000000,0.0018241
29,PEMAdf,Freshwater Emergent Wetland,1.479465380000000,296.022729561000010,5987.184000010000100,0.0059872
30,PFO1A,Freshwater Forested/Shrub Wetland,2.563645840000000,457.367015670000000,10374.706650100001000,0.0001257
31,PEMAf,Freshwater Emergent Wetland,1.575059190000000,373.278635043000010,6374.038400039999900,0.0063740
32,PFO1A,Freshwater Forested/Shrub Wetland,1.047250000000000,291.834610672000000,4238.070400079999700,0.0042381
33,PFO1A,Freshwater Forested/Shrub Wetland,51.419976460000001,3310.041611059999900,208089.491100000010000,0.0055232
34,PEMA,Freshwater Emergent Wetland,1.670193970000000,411.547873262000000,6759.035200020000000,0.0067590
35,PFO1A,Freshwater Forested/Shrub Wetland,58.477360720000000,7386.080922600000100,236648.941700000000000,0.1791960
36,PFO1A,Freshwater Forested/Shrub Wetland,96.457757590000000,3011.110776170000000,390350.696549999990000,0.3903510
37,PEMAh,Freshwater Emergent Wetland,0.617303900000000,247.734669107999990,2498.140250020000200,0.0021203
38,PEMAf,Freshwater Emergent Wetland,0.714566390000000,253.893324361000000,2891.747600019999900,0.0028918
