FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
0,48253,1232,162427,78184,8.0000000,24.0000000,43.5999985,70.0000000,41.7000008,0.6000000,32.0000000,47.5999985,145.6000061,187.3000031,187.8999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2059.5000000,6178.4902344,6093.8701172,6360.6298828,3216.1298828,29.0900002,8237.9902344,11787.5996094,20692.5000000,23908.5996094,23937.6992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7700000,0.3700000,0.0000000,0.7700000,100,150,187,0,100,100,162427,0.0001000
1,48269,1232,162427,78184,8.0000000,24.0000000,43.5999985,70.0000000,41.7000008,0.6000000,32.0000000,47.5999985,145.6000061,187.3000031,187.8999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2059.5000000,6178.4902344,6093.8701172,6360.6298828,3216.1298828,29.0900002,8237.9902344,11787.5996094,20692.5000000,23908.5996094,23937.6992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7700000,0.3700000,0.0000000,0.7700000,100,150,187,0,100,100,162427,0.0122445
2,48292,1232,162427,78184,8.0000000,24.0000000,43.5999985,70.0000000,41.7000008,0.6000000,32.0000000,47.5999985,145.6000061,187.3000031,187.8999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2059.5000000,6178.4902344,6093.8701172,6360.6298828,3216.1298828,29.0900002,8237.9902344,11787.5996094,20692.5000000,23908.5996094,23937.6992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7700000,0.3700000,0.0000000,0.7700000,100,150,187,0,100,100,162427,0.0001364
4,48543,1232,162427,78184,8.0000000,24.0000000,43.5999985,70.0000000,41.7000008,0.6000000,32.0000000,47.5999985,145.6000061,187.3000031,187.8999939,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2059.5000000,6178.4902344,6093.8701172,6360.6298828,3216.1298828,29.0900002,8237.9902344,11787.5996094,20692.5000000,23908.5996094,23937.6992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7700000,0.3700000,0.0000000,0.7700000,100,150,187,0,100,100,162427,0.0113314
18,48951,1254,162449,78208,10.5000000,31.5000000,53.0000000,67.0000000,18.6000004,0.6000000,42.0000000,61.0000000,162.0000000,180.6000061,181.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2102.5000000,6307.5000000,5454.4599609,4154.2202148,3738.3100586,151.5299988,8410.0000000,11182.9003906,18018.6992188,21757.0000000,21908.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7300000,0.4100000,0.0000000,0.7300000,100,104,167,0,100,100,162449,0.0007361
19,48952,1238,162433,78192,5.5000000,16.5000000,32.0000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,84.0000000,114.0000000,115.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1340.5799561,4021.7399902,7650.3100586,3576.7399902,3576.7399902,143.0700073,5362.3198242,8043.4799805,16589.4003906,20166.0996094,20309.1992188,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5300000,0.2800000,0.0000000,0.5300000,100,150,114,1,100,100,162433,0.0046403
27,49013,1223,162418,78176,20.0000000,60.0000000,51.4900017,43.8400002,37.1100006,35.7700005,80.0000000,103.8499985,175.3300018,212.4400024,248.2200012,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9787.5000000,29362.5000000,30981.0996094,10130.5000000,5616.7700195,1522.7900391,39150.0000000,57741.3007813,80261.5000000,85878.2968750,87401.1015625,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.6400000,0.2800000,0.0000000,0.6400000,85,150,193,0,100,100,162418,0.0130134
36,49136,1254,162449,78208,10.5000000,31.5000000,53.0000000,67.0000000,18.6000004,0.6000000,42.0000000,61.0000000,162.0000000,180.6000061,181.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2102.5000000,6307.5000000,5454.4599609,4154.2202148,3738.3100586,151.5299988,8410.0000000,11182.9003906,18018.6992188,21757.0000000,21908.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7300000,0.4100000,0.0000000,0.7300000,100,104,167,0,100,100,162449,0.2862990
42,49173,1254,162449,78208,10.5000000,31.5000000,53.0000000,67.0000000,18.6000004,0.6000000,42.0000000,61.0000000,162.0000000,180.6000061,181.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2102.5000000,6307.5000000,5454.4599609,4154.2202148,3738.3100586,151.5299988,8410.0000000,11182.9003906,18018.6992188,21757.0000000,21908.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7300000,0.4100000,0.0000000,0.7300000,100,104,167,0,100,100,162449,0.0217589
47,49231,1254,162449,78208,10.5000000,31.5000000,53.0000000,67.0000000,18.6000004,0.6000000,42.0000000,61.0000000,162.0000000,180.6000061,181.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,2102.5000000,6307.5000000,5454.4599609,4154.2202148,3738.3100586,151.5299988,8410.0000000,11182.9003906,18018.6992188,21757.0000000,21908.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7300000,0.4100000,0.0000000,0.7300000,100,104,167,0,100,100,162449,0.1397820
