FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
0,11763,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0056096
1,11777,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0007550
5,11804,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0012595
6,11828,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0033799
8,11863,1326,162618,82967,5.5000000,16.5000000,19.1000004,35.0000000,35.0000000,1.4000000,22.0000000,29.5000000,76.0999985,111.0999985,112.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,899.0000000,2697.0000000,1178.1600342,1163.1800537,1163.1800537,46.5299988,3596.0000000,4495.0000000,5937.3500977,7100.5297852,7147.0498047,5.0000000,15.0000000,17.0000000,50.0000000,50.0000000,2.0000000,20.0000000,25.0000000,87.0000000,137.0000000,139.0000000,100.0000000,0.3100000,0.1800000,0.0000000,0.3100000,100,150,111,1,100,100,162618,0.0043335
11,11870,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0001000
12,11874,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0000641
15,11892,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0007722
17,11910,1325,162617,82965,8.5000000,25.5000000,23.5000000,30.0000000,30.0000000,1.2000000,34.0000000,45.5000000,87.5000000,117.5000000,118.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4250.9702148,12752.9003906,7158.9301758,5815.9101563,5815.9101563,232.6399994,17003.9003906,21836.4003906,29978.6992188,35794.6015625,36027.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.5100000,0.3600000,0.0000000,0.5100000,100,150,118,1,100,100,162617,0.0005977
21,11957,1324,162616,82966,5.5000000,16.5000000,29.5000000,30.0000000,30.0000000,1.2000000,22.0000000,33.0000000,81.5000000,111.5000000,112.6999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1348.5000000,4045.5000000,6691.6401367,3489.5500488,3489.5500488,139.5800018,5394.0000000,8091.0000000,15575.2001953,19064.6992188,19204.3007813,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.4800000,0.3100000,0.0000000,0.4800000,100,150,112,1,100,100,162616,0.0000684
